name,linkedin_company_url
Catalyst,https://www.linkedin.com/company/insidecatalyst/
Checkmake Research,https://www.linkedin.com/company/checkmate-research
Clifton AI,https://www.linkedin.com/company/cliftonai
Compound,https://www.linkedin.com/company/compound-financial
Current,https://www.linkedin.com/company/current
Cyndx,https://www.linkedin.com/company/cyndx
Daloopa,https://www.linkedin.com/company/daloopa
Dataglade,https://www.linkedin.com/company/dataglade
Decisional AI,https://www.linkedin.com/company/decisional-ai
DeepVest,https://www.linkedin.com/company/deepvestai
Desia,https://www.linkedin.com/company/desia-ai
Dili AI,https://www.linkedin.com/company/dili-ai
Docubridge,https://www.linkedin.com/company/docubridge
Dotadda,https://www.linkedin.com/company/dotadda-inc
Elastics,https://www.linkedin.com/company/elastics-ai
Endex,https://www.linkedin.com/company/endexai
Entelligent,https://www.linkedin.com/company/entelligent
Epoch,https://www.linkedin.com/company/epochapp
Exvai Research,https://www.linkedin.com/company/exvai-research/
F2,https://www.linkedin.com/company/contextworld
Farsight,https://www.linkedin.com/company/farsight-ai
Fey,https://www.linkedin.com/company/fey-industries
Filot,https://www.linkedin.com/company/filot-io
Finaipro,https://www.linkedin.com/company/finaipro
Financial AI,https://www.linkedin.com/company/thefinancialai
Finbar,https://www.linkedin.com/company/fin-bar
Finoco,https://www.linkedin.com/company/finoco-ai
Finpilot,https://www.linkedin.com/company/finpilot-ai
Finrep,https://www.linkedin.com/company/thefinrep
Finster AI,https://www.linkedin.com/company/finster-ai
FinSynth,https://www.linkedin.com/company/finsynthai
Fintool,https://www.linkedin.com/company/fintoolx
Fira,https://www.linkedin.com/company/fira
First Draft Research,https://www.linkedin.com/company/first-draft-news
Fiscal AI,https://www.linkedin.com/company/fiscaldotai
Fix Parser,https://www.linkedin.com/company/fixparser
Formula Insight,https://www.linkedin.com/company/formula-insight
Fyva,https://www.linkedin.com/company/shopfyva
Hebbia,https://www.linkedin.com/company/hebbia
Hudson Labs,https://www.linkedin.com/company/hudson-labs
Implied,https://www.linkedin.com/company/implied-ai
Inven,https://www.linkedin.com/company/inven-ai
Invesst,https://www.linkedin.com/company/invesstai
Keru,https://www.linkedin.com/company/keru-%E8%AF%BE%E5%84%92
Kshana,https://www.linkedin.com/company/kshana-inc
Lamp AI,https://www.linkedin.com/company/lampi-ai/
Lexfi,https://www.linkedin.com/company/lexfi
LinqAlpha,https://www.linkedin.com/company/linqalpha
Marvin Labs,https://www.linkedin.com/company/marvin-labs
Matterfact,https://www.linkedin.com/company/matterfact
Mdotm,https://www.linkedin.com/company/mdotm-ltd
Menos AI,https://www.linkedin.com/company/menos-ai
Metal,https://www.linkedin.com/company/metal
Midas AI,https://www.linkedin.com/company/getmidasai
MLQ,https://www.linkedin.com/company/mlq-attorney-services
Model Updater,https://www.linkedin.com/company/updater
ModelML,https://www.linkedin.com/company/model-ml
Nash,https://www.linkedin.com/company/usenash
Nosible,https://www.linkedin.com/company/nosible
Nummo,https://www.linkedin.com/company/nummo
Obi9 Technologies,https://www.linkedin.com/company/obi9tech
Octagon AI,https://www.linkedin.com/company/octagonai
Onwish,https://www.linkedin.com/company/onwish
OpenBB,https://www.linkedin.com/company/openbb-finance
Palmy Investing,https://www.linkedin.com/company/palmy-investing
Pascal AI Labs,https://www.linkedin.com/company/pascal-ai-labs
Pebble,https://www.linkedin.com/company/og-pebble
Permutable AI,https://www.linkedin.com/company/permutableai
Phronesis Chat,https://www.linkedin.com/company/phronesis-partners
Pinegap,https://www.linkedin.com/company/pinegap
PleaseFix,https://www.linkedin.com/company/pleasefix-ai
Plux,https://www.linkedin.com/company/pagoplux
Powder,https://www.linkedin.com/company/powderfinance
Premia,https://www.linkedin.com/company/premia
Primer,https://www.linkedin.com/company/primerapi
Prosights,https://www.linkedin.com/company/prosightsco
Prymer,https://www.linkedin.com/company/primer-ai
Qualitate,https://www.linkedin.com/company/qualitate-io
Quantly,https://www.linkedin.com/company/quantly
Quill AI,https://www.linkedin.com/company/quill-ai
Radpod,https://www.linkedin.com/company/radpod-ai
Reflexivity,https://www.linkedin.com/company/reflexivityai
Revi,https://www.linkedin.com/company/revi
Rivanna,https://www.linkedin.com/company/rivanna-medical
Rogo,https://www.linkedin.com/company/rogoai
Rowspace AI,https://www.linkedin.com/company/rowspaceai
Samaya AI,https://www.linkedin.com/company/samaya-ai
Scalar Field,https://www.linkedin.com/company/inputdotcom
SEC Insights,https://www.linkedin.com/company/secgov
Serafis,https://www.linkedin.com/company/serafis
Sibli,https://www.linkedin.com/company/sibliai
Sigtech,https://www.linkedin.com/company/sigtechltd
Six AI (Six HQ),https://www.linkedin.com/company/sixhqai
StockInsights AI,https://www.linkedin.com/company/stockinsights-ai
Stratalens,https://www.linkedin.com/company/stratalensinsurtech
Structify,https://www.linkedin.com/company/structifyai
Tenkay,https://www.linkedin.com/company/tenkay-ai
