name,domain,error
Ahead Innovation Labs,www.aheadinnovationlabs.com,AttributeError: 'str' object has no attribute 'get'
Aiera,aiera.com,AttributeError: 'str' object has no attribute 'get'
Alpharepo,www.alpharepo.com,AttributeError: 'str' object has no attribute 'get'
Alphasense,www.alpha-sense.com,AttributeError: 'str' object has no attribute 'get'
AlphaWatch AI,alphawatch.ai,AttributeError: 'str' object has no attribute 'get'
AQ22,aq22.ai,AttributeError: 'str' object has no attribute 'get'
Auquan,www.auquan.com,AttributeError: 'str' object has no attribute 'get'
Axyon AI,axyon.ai,AttributeError: 'str' object has no attribute 'get'
Banker,www.banker.so,AttributeError: 'str' object has no attribute 'get'
Batonics,www.batonics.com,AttributeError: 'str' object has no attribute 'get'
